File Name,Logging Time (seconds),Num Disconnections,Avg Num Peers,Min Num Peers,Max Num Peers,Avg Connection Time (seconds),Min Connection Time (seconds),Max Connection Time (seconds),Raw Connection Time Dictionary,
Sample 127 numConnections 7.csv,3000,0,7.0,7,7,3000.0,3000,3000,"{'144.76.1.20:8333': 3000, '212.9.185.194:8333': 3000, '69.70.17.210:8333': 3000, '54.187.225.131:8333': 3000, '136.56.170.96:8333': 3000, '188.166.161.240:8333': 3000, '54.254.183.101:8333': 3000}",
Sample 128 numConnections 8.csv,3000,0,8.0,8,8,3000.0,3000,3000,"{'93.189.145.169:8333': 3000, '35.241.143.66:8333': 3000, '85.208.70.249:8333': 3000, '212.9.185.194:8333': 3000, '159.69.95.70:8333': 3000, '220.76.92.67:8333': 3000, '51.159.55.97:8333': 3000, '157.131.220.216:8333': 3000}",
Sample 129 numConnections 9.csv,3000,1,9.0,9,9,2700.0,1445,3000,"{'157.245.83.73:8333': 3000, '212.112.145.196:8333': 3000, '78.141.123.99:8333': 3000, '99.103.35.106:8333': 3000, '144.76.82.166:8333': 3000, '138.68.105.150:8333': 1445, '94.155.252.45:8333': 3000, '213.171.196.79:8333': 3000, '93.89.84.93:8333': 3000, '167.99.141.124:8333': 1555}",
Sample 13 numConnections 3.csv,3000,1,3.0,3,3,2250.0,1,3000,"{'14.133.146.51:8333': 3000, '159.65.71.195:8333': 3000, '5.196.54.212:8333': 1, '73.198.63.11:8333': 2999}",
Sample 130 numConnections 10.csv,3000,2,10.0,10,10,2500.0,5,3000,"{'51.15.84.61:8333': 3000, '51.159.21.209:8333': 3000, '116.202.97.107:8333': 3000, '121.98.205.102:8333': 3000, '82.194.153.233:8333': 3000, '104.198.87.131:8333': 3000, '13.230.246.241:8333': 3000, '212.32.230.216:8333': 19, '159.69.10.112:8333': 5, '18.222.171.104:8333': 3000, '70.124.171.16:8333': 2995, '54.254.183.101:8333': 2981}",
Sample 131 numConnections 1.csv,3000,0,1.0,1,1,3000.0,3000,3000,"{'83.161.249.125:8333': 3000}",
Sample 132 numConnections 2.csv,3000,0,2.0,2,2,3000.0,3000,3000,"{'212.112.145.196:8333': 3000, '67.80.208.143:8333': 3000}",
Sample 133 numConnections 3.csv,3000,0,3.0,3,3,3000.0,3000,3000,"{'136.56.170.96:8333': 3000, '205.209.162.98:8333': 3000, '174.94.155.224:8333': 3000}",
Sample 134 numConnections 4.csv,3000,1,4.0,4,4,2400.0,130,3000,"{'159.100.245.237:8333': 3000, '220.76.92.67:8333': 3000, '84.114.111.75:8333': 3000, '212.112.145.196:8333': 130, '109.255.152.153:8333': 2870}",
Sample 135 numConnections 5.csv,3000,0,5.0,5,5,3000.0,3000,3000,"{'176.9.145.206:8333': 3000, '116.203.43.106:8333': 3000, '81.224.44.164:8333': 3000, '72.231.182.75:8333': 3000, '86.15.38.61:8333': 3000}",
Sample 136 numConnections 6.csv,3000,0,6.0,6,6,3000.0,3000,3000,"{'203.151.166.124:8333': 3000, '59.167.120.116:8333': 3000, '211.251.250.7:8333': 3000, '220.233.177.223:8333': 3000, '90.126.42.245:8333': 3000, '194.118.172.29:8333': 3000}",
Sample 137 numConnections 7.csv,3000,3,7.0,7,7,2100.0,1,3000,"{'5.128.87.126:8333': 1304, '88.118.153.132:8333': 3000, '69.30.241.82:8333': 3000, '136.243.146.74:8333': 3000, '35.187.209.186:8333': 3000, '95.165.104.89:8333': 3000, '46.128.140.193:8333': 3000, '95.216.243.70:8333': 1, '93.241.53.200:8333': 1, '188.214.133.94:8333': 1694}",
Sample 138 numConnections 8.csv,3000,0,8.0,8,8,3000.0,3000,3000,"{'71.198.215.136:8333': 3000, '79.248.107.108:8333': 3000, '199.203.54.27:8333': 3000, '188.208.111.62:8333': 3000, '47.108.78.200:8333': 3000, '176.9.145.206:8333': 3000, '174.94.155.224:8333': 3000, '94.130.149.49:8333': 3000}",
Sample 139 numConnections 9.csv,3000,2,9.0,9,9,2454.5454545454545,1,3000,"{'5.128.87.126:8333': 3000, '18.218.72.156:8333': 1293, '212.112.145.196:8333': 3000, '95.217.6.169:8333': 3000, '173.21.218.95:8333': 3000, '107.195.166.98:8333': 3000, '97.100.211.3:8333': 3000, '159.69.10.112:8333': 3000, '47.244.215.75:8333': 3000, '136.49.241.21:8333': 1, '107.191.33.82:8333': 1706}",
Sample 14 numConnections 4.csv,3000,1,4.0,4,4,2400.0,31,3000,"{'69.10.143.103:8333': 3000, '116.203.43.106:8333': 3000, '205.209.162.98:8333': 31, '185.78.209.27:8333': 3000, '5.39.78.212:8333': 2969}",
